id;distance_beech;distance_oak;distance_dgl;oak_regen;beech_regen;douglas_regen
4718;58,30951691;0;425,4409485;0;0;0
9705;82,46211243;354,6829529;526,9725342;0;0;0
1921;30;50;346,6987305;0;0;0
23499;1251,958496;78,10250092;565,8621826;0;0;0
2461;183,8477783;220;392,1734314;0;0;0
31576;22,36067963;0;58,30951691;0;1;0
24419;94,86832428;80;80,62257385;0;0;0
12114;44,72135925;14,14213562;31,62277603;0;1;0
12532;0;120;541,4794312;0;30;0
38951;111,8033981;0;14,14213562;0;2;0
17545;186,8154144;0;67,08203888;0;1;0
31008;85,44003296;31,62277603;0;0;0;1
32266;143,1782227;0;170,293869;0;0;0
3708;215,8703308;582,4946289;516,1395264;0;0;0
30388;94,33981323;31,62277603;0;0;0;10
3790;31,62277603;612,9437256;663,7017212;0;0;0
37072;622,4146729;393,9543152;203,9607849;0;0;0
26089;228,2542419;44,72135925;10;0;0;0
13646;98,4885788;50,99019623;50,99019623;2;0;0
35377;211,8962097;202,4845734;10;0;0;18
18454;0;216,3330841;721,1102295;0;15;0
37332;189,7366486;50;44,72135925;0;0;0
160;22,36067963;189,7366486;136,0147095;0;12;0
22571;363,4556274;30;219,3171387;0;0;0
19677;53,85164642;20;10;0;0;0
3923;0;30;970,0515747;0;0;0
8183;28,28427124;465,7252502;406,0787964;0;0;0
25652;28,28427124;0;114,0175476;0;6;0
39799;174,6424866;100;72,11102295;0;0;0
20515;0;50,99019623;127,2792206;0;0;0
31356;100;80,62257385;138,9244385;0;0;0
33742;1287,011963;446,8780518;169,7056274;0;0;0
2320;0;130,3840485;576,8881836;0;0;0
1414;0;10;120,415947;0;2;0
13212;0;31,62277603;510,8815918;0;0;0
26871;100;44,72135925;31,62277603;0;0;0
38722;353,5534058;130,3840485;20;0;0;0
36726;691,8092041;386,005188;50;0;0;0
23145;10;0;70;0;2;0
32476;174,9285583;107,7032928;0;0;0;0
10551;63,24555206;438,6342773;196,9771576;0;0;0
28782;0;20;276,5863342;0;0;0
25804;751,065918;210,9502258;110,4536057;0;0;0
2857;100;127,2792206;265,706604;0;0;0
33716;1144,901733;174,6424866;10;0;0;0
35963;488,46698;131,5294647;20;0;0;0
18087;14,14213562;0;134,1640778;0;0;0
7594;92,1954422;425,4409485;357,3513794;0;0;0
43082;608,2762451;42,42640686;30;7;0;0
6065;67,08203888;789,2401123;1140,175415;0;0;0
27548;145,6022034;53,85164642;40;1;1;0
27113;0;22,36067963;234,0939941;0;1;0
39732;50,99019623;0;60;1;1;0
17745;0;85,44003296;110;0;0;0
3666;30;322,4902954;150;0;4;0
15994;818,4130859;0;31,62277603;0;0;0
25000;60,82762909;0;914,4396973;3;0;0
31206;123,6931686;0;36,05551147;0;1;0
31174;280,1784973;123,6931686;156,2050018;0;0;0
15873;430,4648438;92,1954422;0;0;0;0
27104;36,05551147;0;50;0;0;0
264;10;70;72,80110168;0;0;0
36499;130,3840485;50,99019623;31,62277603;0;0;0
40883;0;63,24555206;326,9556274;0;2;0
19230;0;14,14213562;458,0392761;0;0;0
3058;0;41,23105621;547,4486084;0;8;0
32758;392,0458984;280,1784973;28,28427124;0;0;0
6180;120,415947;384,1874695;1725,39856;0;0;0
12628;0;70,7106781;1174,265747;0;30;0
5949;20;106,3014603;121,6552582;0;0;0
40585;394,5883789;60;28,28427124;2;0;0
2473;28,28427124;80,62257385;64,03124237;0;0;0
10963;170,293869;429,4182129;625,1400146;0;0;0
671;20;0;253,1797791;0;0;0
23353;331,2098999;36,05551147;10;0;0;0
42935;433,2435913;160;191,0497284;0;0;0
14677;60,82762909;182,4828796;102,9563065;0;0;0
30087;0;60;72,11102295;0;0;0
42229;420,4759216;0;102,9563065;0;0;0
18703;0;63,24555206;621,6912231;0;4;0
8048;10;981,835022;30;0;0;0
19503;10;0;490,3060303;0;0;0
27787;228,2542419;67,08203888;206,1552734;0;0;0
15013;14,14213562;30;78,10250092;0;0;0
32709;110;20;20;0;0;0
43894;3206,571289;751,6647949;388,9730225;0;0;0
21978;0;148,6606903;333,01651;0;0;0
1203;50;44,72135925;180,2775574;0;0;0
31177;220,9072113;191,0497284;0;0;0;0
19349;30;22,36067963;636,3175049;0;0;0
25327;31,62277603;50;0;0;0;0
2929;0;212,1320343;340,1470337;0;1;0
39054;10;22,36067963;0;0;0;0
13685;0;160;10;0;11;0
13675;0;31,62277603;10;0;0;0
4884;0;10;164,012207;0;0;0
25762;67,08203888;30;31,62277603;2;2;0
34869;70;60;0;0;0;0
38944;145,6022034;140,3566895;10;0;0;0
28621;510,3919983;171,1724243;0;0;0;0
11487;0;148,6606903;530,3772583;0;5;0
43567;42,42640686;40;10;0;0;0
30440;10;0;60;13;0;0
41316;50;31,62277603;72,80110168;0;0;0
2800;41,23105621;182,4828796;50,99019623;0;0;0
21952;10;0;122,0655518;0;5;0
16643;233,2380676;183,575592;161,2451477;0;0;0
29897;20;0;164,9242249;0;0;0
6817;0;84,85281372;858,428833;0;0;0
8199;0;50,99019623;28,28427124;0;0;0
30427;76,1577301;14,14213562;114,0175476;0;0;0
3011;0;50;1008,464233;0;1;0
18722;0;161,2451477;180;0;22;0
11941;0;22,36067963;257,0992126;30;0;0
34630;431,7406616;145,6022034;36,05551147;0;1;0
17904;36,05551147;219,3171387;315,7530518;0;0;0
26398;0;50,99019623;171,1724243;0;2;0
8375;0;50;60,82762909;0;0;0
25850;340,587738;14,14213562;30;4;0;0
31609;120,415947;0;20;0;0;0
39419;260,7680969;10;20;0;0;0
34676;42,42640686;0;50,99019623;0;0;0
9996;641,9501343;878,1799316;516,2363892;0;0;0
26932;186,0107574;0;170;0;2;0
32821;657,6473389;80,62257385;10;0;0;0
37062;532,3532715;305,2867432;107,7032928;0;0;0
9211;0;139,2838898;381,182373;0;30;0
33788;324,4996338;128,0624847;50;1;0;0
7951;170;532,3532715;255,5386505;0;0;0
12307;0;10;85,44003296;24;1;0
8705;0;92,1954422;629,6824951;0;25;0
42008;447,7722473;126,4911041;36,05551147;1;0;0
